id,link
88,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
89,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
90,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
91,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
92,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
93,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
94,https://myanimelist.net/anime/170/Slam_Dunk
95,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
96,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
97,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
98,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
99,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
100,https://myanimelist.net/anime/437/Perfect_Blue
101,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
102,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
103,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
104,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
105,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
106,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
107,https://myanimelist.net/anime/35843/Gintama__Porori-hen
108,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
109,https://myanimelist.net/anime/877/Nana
110,https://myanimelist.net/anime/30484/Steins_Gate_0
111,https://myanimelist.net/anime/30276/One_Punch_Man
112,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
113,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
114,https://myanimelist.net/anime/36649/Banana_Fish
115,https://myanimelist.net/anime/578/Hotaru_no_Haka
116,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
117,https://myanimelist.net/anime/205/Samurai_Champloo
118,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
119,https://myanimelist.net/anime/47194/Summertime_Render
120,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
121,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
122,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
123,https://myanimelist.net/anime/3297/Aria_the_Origination
124,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
125,https://myanimelist.net/anime/32182/Mob_Psycho_100
126,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
127,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
128,https://myanimelist.net/anime/37379/Chihayafuru_3
129,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
130,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
131,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
132,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
133,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
134,https://myanimelist.net/anime/10165/Nichijou
135,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
136,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
137,https://myanimelist.net/anime/31181/Owarimonogatari
138,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
139,https://myanimelist.net/anime/20583/Haikyuu
140,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
141,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
142,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
143,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
144,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
145,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
146,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
147,https://myanimelist.net/anime/37105/Grand_Blue
148,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
149,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
150,https://myanimelist.net/anime/2246/Mononoke
151,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
152,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
153,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
154,https://myanimelist.net/anime/5028/Major_S5
155,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
156,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
